OBJECTID,ProvNo,PovName,DistNo,DistName,regular_radio_listener_pct,comm_risk_index,comm_risk_pct,female_literacy_pct,has_no_soap_pct,male_literacy_pct,has_no_drinkwater_pct,has_no_water_handwashing_pct,prox_risk_index,socioecon_risk_index,time_to_water_greater_30_pct,shares_toilet_with_others_pct,WASH_risk_index,Shape__Area,Shape__Length
33,103,EASTERN,103011,CHIPANGALI,42.6285018920898,3.60002326965332,29.8252220153809,44.0638656616211,68.1534805297852,68.4084930419922,99.3271408081055,73.9191207885742,2.14514589309692,3.94341635704041,26.8345012664795,38.5303649902344,3.35607266426086,0.223676675109544,2.57242608532122
34,103,EASTERN,103012,KASENENGWA,46.9317359924316,1.94242203235626,21.5409870147705,50.715145111084,47.1087036132813,68.2532196044922,98.6849670410156,68.2457427978516,3.20920705795288,3.81053948402405,24.8361186981201,37.47900390625,1.90037262439728,0.164966423059099,2.81045632048159
35,103,EASTERN,103013,LUMEZI,38.3647041320801,3.73036599159241,30.4976177215576,42.5105857849121,78.644905090332,74.5297622680664,99.4110946655273,78.1968841552734,2.53055715560913,4.06567001342773,34.0125503540039,38.5522994995117,4.43052101135254,0.816688713901499,5.24216503069921
36,103,EASTERN,103014,LUSANGAZI,40.0005340576172,2.83203530311584,26.0151329040527,43.2724380493164,54.3521347045898,68.3913803100586,99.6311950683594,72.2156066894531,2.91982173919678,3.97575926780701,28.9962635040283,39.600471496582,2.77067184448242,0.30824087396212,3.40957346754616
37,104,LUAPULA,104001,CHEMBE,45.9821128845215,1.97830307483673,22.2462196350098,49.4439010620117,77.7578048706055,80.0527420043945,98.7411041259766,74.850944519043,1.68646037578583,3.93591928482056,15.6050157546997,24.1192207336426,2.42812585830688,0.179149995381351,2.47563392143373
38,104,LUAPULA,104002,CHIENGE,57.9785003662109,1.90150439739227,21.4430046081543,45.5830383300781,73.0178909301758,77.0594024658203,95.8443298339844,72.111198425293,1.41116917133331,3.43522500991821,28.8214874267578,29.6720123291016,2.95848226547241,0.311469409502934,2.8304374342368
39,104,LUAPULA,104003,CHIPILI,37.9306793212891,4.31533479690552,33.8349876403809,50.5008354187012,74.4386520385742,77.4689483642578,98.679443359375,74.7720413208008,1.48412477970123,3.97059416770935,18.5706443786621,21.5486240386963,2.23668456077576,0.348316351023158,4.04201727925652
40,104,LUAPULA,104004,KAWAMBWA,51.6546592712402,2.26470184326172,22.0607128143311,56.6311264038086,57.5827903747559,81.0761795043945,91.9872436523438,69.630500793457,2.15668058395386,3.37994074821472,15.9717273712158,22.2546710968018,1.44329476356506,0.659362901534649,5.01631551368797
41,104,LUAPULA,104005,LUNGA,35.9443435668945,3.76773905754089,30.3877067565918,42.6729393005371,65.035285949707,71.7360229492188,97.2883605957031,71.1219024658203,1.77163147926331,4.59278869628906,17.5274810791016,37.6926002502441,2.4167160987854,0.314755373826472,2.53353131996187
42,104,LUAPULA,104006,MANSA,56.7848968505859,1.32239317893982,14.3521814346313,62.9502868652344,64.7975540161133,83.7661056518555,91.2966842651367,63.791088104248,3.2260627746582,2.67540502548218,9.39237117767334,31.8913688659668,1.53311479091644,0.635171496485242,5.25686179624528
43,104,LUAPULA,104007,MILENGE,29.9792556762695,4.48235750198364,36.4521331787109,43.4983406066895,82.2176895141602,67.9968566894531,98.8927917480469,76.2826385498047,2.67203426361084,4.30109739303589,17.1081695556641,26.0578022003174,2.88268661499023,0.503156487113245,4.3175866772467
44,104,LUAPULA,104008,MWANSABOMBWE,55.8165130615234,1.39550888538361,18.1495685577393,51.7455444335938,68.9760818481445,82.4174118041992,94.7582778930664,63.2550735473633,1.81179070472717,3.41443729400635,21.4597949981689,20.9755992889404,1.71175575256348,0.100089266874534,1.70956382404307
45,104,LUAPULA,104009,MWENSE,53.2615089416504,1.64661002159119,20.1887149810791,53.6458778381348,74.0094375610352,80.5599594116211,94.1512680053711,72.9271087646484,1.60145246982574,3.33850836753845,26.1171417236328,26.3634834289551,2.74805808067322,0.198787614510735,3.09346481081757
46,104,LUAPULA,104010,NCHELENGE,59.45751953125,1.69530630111694,19.7457180023193,52.6790237426758,72.8795547485352,79.0424957275391,93.2086868286133,73.0947113037109,1.67815005779266,3.39039540290833,23.9218616485596,26.6176261901855,2.5648021697998,0.336709543096674,3.48319407315884
47,104,LUAPULA,104011,SAMFYA,50.4286956787109,1.83158195018768,20.4839744567871,49.5313949584961,71.4369659423828,79.1277389526367,91.2983627319336,66.9895706176758,2.00261211395264,3.54855918884277,15.6883792877197,29.5704593658447,2.03209924697876,0.272469059102747,3.3621112037414
48,104,LUAPULA,104012,CHIFUNABULI,49.9073600769043,2.29691457748413,23.0744361877441,41.1830635070801,65.7980499267578,76.6011428833008,98.2016143798828,61.5677146911621,1.36003398895264,4.44029092788696,19.4685134887695,26.9812259674072,1.6471095085144,0.253055273922627,2.46138734506558
49,105,LUSAKA,105001,CHILANGA,60.4611930847168,1.09148478507996,8.32819366455078,75.1172637939453,57.2306137084961,88.1433944702148,71.5838775634766,51.6882514953613,4.71103954315186,1.84432220458984,10.3169498443604,46.9502105712891,1.20958161354065,0.114374016561811,2.34983687805235
50,105,LUSAKA,105002,CHIRUNDU,41.9319648742676,2.53870129585266,24.5803718566895,65.1749954223633,73.665168762207,79.0391693115234,77.9706115722656,62.6294746398926,4.68319892883301,2.52263975143433,28.2529449462891,54.9797744750977,2.7118513584137,0.117852846311905,1.99110321222164
51,105,LUSAKA,105003,CHONGWE,60.0092964172363,1.30290746688843,14.7197208404541,74.1530914306641,65.8362884521484,84.8928985595703,79.9813385009766,56.4561614990234,4.15094709396362,2.1050717830658,14.065299987793,37.4988250732422,1.45622372627258,0.205300550478199,2.48053472600064
52,105,LUSAKA,105004,KAFUE,53.5563468933105,1.31628489494324,13.0467195510864,73.1438980102539,54.4949073791504,86.3103408813477,66.6253967285156,55.513973236084,4.23985195159912,1.9122633934021,16.0322532653809,45.1291427612305,1.74606370925903,0.378195643056614,4.58363955315458
53,105,LUSAKA,105005,LUANGWA,27.5710487365723,2.85918998718262,25.9977951049805,54.7586402893066,46.4797248840332,76.3041839599609,90.0729827880859,55.460636138916,4.70409870147705,3.32149362564087,27.8353309631348,46.9998321533203,1.42049419879913,0.327588743148368,3.27341505052089
54,105,LUSAKA,105006,LUSAKA,66.328857421875,1.00003290176392,3.10297679901123,81.2990036010742,45.4540252685547,90.5576477050781,54.3367691040039,47.4664344787598,4.776451587677,1.102459192276,10.1056995391846,57.8101959228516,1.33918833732605,0.0352662388077647,1.04717311888034
55,105,LUSAKA,105007,RUFUNSA,39.7899055480957,2.94723582267761,26.4971580505371,60.6611938476563,60.5644760131836,70.931022644043,97.4012451171875,64.8260726928711,4.28191566467285,3.39569973945618,33.196891784668,32.6295928955078,2.47803330421448,0.798453103070614,4.64899819139169
