ProvNo,PovName,DistNo,DistName,female_literacy_pct,mrp_estimate,mrp_estimate_se,post_lit_MR_est,post_lit_MR_err,post_lit_MR_lower,post_lit_MR_upper,post_lit_IO_est,post_lit_IO_err,post_lit_IO_lower,post_lit_IO_upper,fraym_mrp_err_sq,fraym_mr_err_sq,fraym_io_err_sq
108,NORTH-WESTERN,108004,Kasempa,59.49106598,0.694594131,0.101707592,0.693242334,0.512902544,0.671507045,0.713781652,0.667021072,0.509849618,0.649696983,0.684187433,0.009936795,0.009669118,0.005199912
101,CENTRAL,101003,Chitambo,57.40953064,0.666372477,0.101670294,0.666471163,0.515754588,0.638857469,0.692701804,0.62132689,0.515313957,0.592265079,0.64894771,0.008515076,0.008533299,0.002230823
110,WESTERN,110009,Mwandi,60.19288254,0.693365303,0.101608272,0.6807832,0.519537551,0.648011068,0.713330283,0.66751155,0.520985229,0.627802788,0.704074164,0.008360629,0.006218012,0.004301094
103,EASTERN,103009,Vubwi,52.95272827,0.620601904,0.101663464,0.642669053,0.51510869,0.615573241,0.669883496,0.605814103,0.514196748,0.577707121,0.633118703,0.008294587,0.01280106,0.005819679
110,WESTERN,110002,Kaoma,62.96652222,0.719856042,0.10146369,0.67627804,0.512126429,0.65590988,0.696614008,0.673747692,0.50946164,0.657824284,0.690150424,0.008134384,0.002172755,0.001943264
105,LUSAKA,105006,Lusaka,81.2990036,0.726332821,0.102197506,0.667924501,0.508696681,0.652065105,0.68299511,0.694159979,0.503314235,0.688677049,0.699443171,0.007509473,0.021044009,0.014120583
104,LUAPULA,104001,Chembe,49.44390106,0.578733434,0.101707552,0.685855557,0.518616068,0.652858635,0.716766971,0.649347841,0.520289454,0.613802019,0.683210144,0.00710555,0.036640294,0.023996746
104,LUAPULA,104011,Samfya,49.53139496,0.578733434,0.101707552,0.656382702,0.512068541,0.634815545,0.677660483,0.624578039,0.510177777,0.60588407,0.642444588,0.00695881,0.025943143,0.016709205
106,MUCHINGA,106003,Isoka,58.97920227,0.672150437,0.101903849,0.666486159,0.511536937,0.645530926,0.687006983,0.640942007,0.509802383,0.623589944,0.657790647,0.006782908,0.005881991,0.002616321
101,CENTRAL,101009,Mumbwa,67.63312531,0.594259444,0.101307348,0.697394557,0.510463434,0.679315409,0.713573411,0.686153117,0.508956701,0.671348008,0.701295473,0.006735782,4.44E-04,9.65E-05
110,WESTERN,110016,Sioma,54.41535187,0.624417114,0.102655681,0.665062409,0.517422256,0.634364428,0.694749008,0.629298333,0.51777665,0.596437936,0.661154417,0.006442245,0.01461896,0.007249639
102,COPPERBELT,102009,Mufulira,75.63227844,0.835307014,0.10280238,0.657810706,0.51248434,0.636337976,0.678827959,0.678819338,0.510326787,0.661643085,0.695640072,0.006238508,0.009704629,0.006006784
108,NORTH-WESTERN,108003,Kabompo,62.80941772,0.703321261,0.102235936,0.683378002,0.514074983,0.659753404,0.707159888,0.670350427,0.512195308,0.648967094,0.690876971,0.005659114,0.003056301,0.001785591
103,EASTERN,103001,Chadiza,54.62192154,0.620601904,0.101663464,0.660178895,0.519941239,0.623292086,0.694330012,0.692250474,0.521791895,0.653166801,0.728197248,0.005532784,0.012986808,0.021325128
104,LUAPULA,104003,Chipili,50.50083542,0.578733434,0.101707552,0.63336863,0.518137487,0.599148104,0.665852562,0.581605375,0.518207771,0.545616158,0.616229978,0.005435387,0.016476361,0.005867104
101,CENTRAL,105008,Shibuyunji,66.49778748,0.592656486,0.101307071,NA,NA,NA,NA,NA,NA,NA,NA,0.005230383,NA,NA
